Nombre ,Fuente,Usuario,Subtema,Tono,Recursos,ENGAGEMENT,URL
0203-6,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"1,939",https://www.facebook.com/msaludcr/posts/10163225042265137
0203-7,Organización Religiosa,Avivamiento Espiritual - Por Siempre,Religión,Esperanzador,Link,"1,571",https://www.facebook.com/AvivamientoEspiritualPorSiempre/posts/2465896396983359
0203-8,Medio,Telenoticias,Economía,Informativo,Link,"1,363",https://www.facebook.com/Telenoticias7/posts/3305406992803812
0203-9,Medio,NCR - Noticias Costa Rica,Religión,Informativo,Link,"1,087",https://www.facebook.com/NCRNoticiasCostaRica/posts/3132430073456097
0203-10,Medio,La Nación,Economía,Informativo,Link,"1,045",https://www.facebook.com/lanacioncr/posts/10163285481895051
0303-1,Figura Pública,Pelicomic,Entretenimiento,Informativo,Foto,"2,549",https://www.facebook.com/PelicomicCR/posts/2656926904594418
0303-2,Medio,NCR - Noticias Costa Rica,Discriminación,Informativo,Link,"2,186",https://www.facebook.com/NCRNoticiasCostaRica/posts/3135547293144375
0303-3,Medio,Repretel,Religión,Informativo,Link,"1,943",https://www.facebook.com/noticiasrepretelcostarica/posts/3275014609204934
0303-4,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"1,816",https://www.facebook.com/msaludcr/posts/10163230549250137
0303-5,Medio,NCR - Noticias Costa Rica,Religión,Informativo,Link,"1,596",https://www.facebook.com/NCRNoticiasCostaRica/posts/3134384089927362
0303-6,Medio,Tome Pal Pinto,Religión,Informativo,Link,"1,339",https://www.facebook.com/Tomepalpinto/posts/2829947670425111
0303-7,Medio,NCR - Noticias Costa Rica,Salud,Esperanzador,Link,"1,275",https://www.facebook.com/NCRNoticiasCostaRica/posts/3134511363247968
0303-8,Página/Comunidad,El Ticofrasea,Salud,Humoroso,Meme,"1,065",https://www.facebook.com/ticofrasea/posts/641048533378123
0303-9,Medio,La Nación,Salud,Informativo,Link,943,https://www.facebook.com/lanacioncr/posts/10163289336580051
0303-10,Página/Comunidad,Ebooks en Español,Religión,Humoroso,Meme,806,https://www.facebook.com/ebooksenespanol/posts/2987957184582239
0403-1,Página/Comunidad,Manudo de Corazon,Deporte,Humroso,Meme,"4,298",https://www.facebook.com/ldacrmanudo/posts/2753192914769411
0403-2,Medio,NCR - Noticias Costa Rica,Educación,Informativo,Link,"1,492",https://www.facebook.com/NCRNoticiasCostaRica/posts/3136914276341010
0403-3,Medio,NCR - Noticias Costa Rica,Discriminación,Informativo,Link,"1,066",https://www.facebook.com/NCRNoticiasCostaRica/posts/3137193592979745
0403-4,Medio,Telenoticias,Medio Ambiente y Animales,Informativo,Link,827,https://www.facebook.com/Telenoticias7/posts/3308555175822327
0403-5,Medio,Los 40,Entretenimiento,Informativo,Link,655,https://www.facebook.com/Los40CR/posts/3053474474677380
0403-6,Medio,PZ Noticias,Religión,Informativo,Texto/Foto,616,https://www.facebook.com/pznoticias/posts/2897639507009515
0403-7,Medio,Crhoy.com,Salud,Informativo,Video,577,https://www.facebook.com/crhoy.comnoticias/posts/219802342430870
0403-8,Figura pública,Luis Enrique Mejia Godoy,Política,Denuncia,Texto/Foto,557,https://www.facebook.com/LuisEnriqueMejiaGodoyOficial/posts/2832130323540525
0403-9,Página/Comunidad,El Chavitico,Salud,Humoroso,Video,429,https://www.facebook.com/elchavitico/posts/3055029021188018
0403-10,Medio,Crhoy.com,Salud,Informativo,Video,397,https://www.facebook.com/crhoy.comnoticias/posts/156784502024592
0503-1,Institución,Universidad de Costa Rica,Salud,Informativo,Texto-Foto,"9,943",https://www.facebook.com/UniversidadCostaRica/posts/2862856507086198
0503-2,Medio,Crhoy.com,Salud,Informativo,Link,"8,571",https://www.facebook.com/crhoy.comnoticias/posts/3778888788820127
0503-3,Medio,Telenoticias,Salud,Informativo,Texto/Foto,"8,505",https://www.facebook.com/Telenoticias7/posts/3311773762167135
0503-4,Medio,Teletica,Salud,Informativo,Video,"6,179",https://www.facebook.com/teleticacom/posts/652443278851054
0503-5,Ministerio,Ministerio de Salud,Salud,Informativo,Texto-Video,"6,111",https://www.facebook.com/msaludcr/posts/10163240123620137
0503-6,Medio,Telenoticias,Salud,Informativo,Texto/Foto,"4,629",https://www.facebook.com/Telenoticias7/posts/3312311128780065
0503-7,Medio,Tome pal pinto,Salud,Informativo,Link,"4,354",https://www.facebook.com/Tomepalpinto/posts/2834593926627152
0503-8,Medio,Teletica,Salud,Informativo,Video,"4,287",https://www.facebook.com/teleticacom/posts/819030461928672
0503-9,Ministerio,Ministerio de Salud,Vida Cotidiana,Informativo,Texto/Foto,"4,032",https://www.facebook.com/msaludcr/posts/10163239364380137
0503-10,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Link,"3,902",https://www.facebook.com/NCRNoticiasCostaRica/posts/3139454199420351
0603-1,Institución,Caja Costarricense de Seguro Social,Salud,Informativo,Texto/Foto,"18,819",https://www.facebook.com/ccssdecostarica/posts/3097113046979064
0603-2,Medio,Tome pal pinto,Salud,Informativo,Link,"11,624",https://www.facebook.com/Tomepalpinto/posts/2836250373128174
0603-3,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"9,909",https://www.facebook.com/msaludcr/posts/1076426826058411
0603-4,Medio,Telenoticias,Salud,Informativo,Texto/Foto,"9,190",https://www.facebook.com/Telenoticias7/posts/3314825358528642
0603-5,Medio,Crhoy.com,Salud,Informativo,Link,"7,808",https://www.facebook.com/crhoy.comnoticias/posts/3782461361796203
0603-6,Medio,Crhoy.com,Política,Informativo,Link,"7,359",https://www.facebook.com/crhoy.comnoticias/posts/3783026685073004
0603-7,Gobierno,Carlos Alvarado Quesada,Salud,Informativo,Texto,"7,255",https://www.facebook.com/carlosalvaradoquesada/posts/841282449703764
0603-8,Figura pública,Zuzurro El Turro,Salud,Dencuncia,Texto,"7,007",https://www.facebook.com/zuzurroturro/posts/2966853550032505
0603-9,Medio,Repretel,Salud,Informativo,Video,"6,745",https://www.facebook.com/noticiasrepretelcostarica/posts/2319147411519860
0603-10,Medio,Telenoticias,Salud,Informativo,Texto/Foto,"6,652",https://www.facebook.com/Telenoticias7/posts/3313945921949919
0703-1,Medio,Crhoy.com,Salud,Informativo,Link,"8,918",https://www.facebook.com/crhoy.comnoticias/posts/3786211064754566
0703-2,Medio,Telenoticias,Salud,Informativo,Texto-Foto,"8,852",https://www.facebook.com/Telenoticias7/posts/3316839644993880
0703-3,Ministerio,Ministerio de Salud,Salud,Informativo,Texto,"7,754",https://www.facebook.com/msaludcr/posts/10163251602310137
0703-4,Medio,Stereo Vision Internacional,Religión,Esperanzador,Video,"7,296",https://www.facebook.com/StereoVision/posts/10158120178408770
0703-5,Ministerio,Ministerio de Salud,Vida Cotidiana,Informativo,Foto,"5,411",https://www.facebook.com/msaludcr/posts/10163245751315137
0703-6,Medio,La Nación,Vuelos,Informativo,Link,"5,375",https://www.facebook.com/lanacioncr/posts/10163311285270051
0703-7,Medio,Telenoticias,Vuelos,Informativo,Link,"5,076",https://www.facebook.com/Telenoticias7/posts/3317060451638466
0703-8,Medio,La Nación,Salud,Informativo,Link,"4,353",https://www.facebook.com/lanacioncr/posts/10163311645860051
0703-9,Medio,Crhoy.com,Misceláneo,Informativo,Link,"3,975",https://www.facebook.com/crhoy.comnoticias/posts/3784852331557106
0703-10,Medio,Tome pal pinto,Salud,Informativo,Link,"3,970",https://www.facebook.com/Tomepalpinto/posts/2838587682894443
0803-1,Organización,Rescate Animal,Medio Ambiente y Animales,Informativo,Link,"14,283",https://www.facebook.com/RescateAnimalCR/posts/10157416149219912
0803-2,Medio,La Nación,Medidas y Restricciones,Informativo,Link,"9,788",https://www.facebook.com/lanacioncr/posts/10163316793515051
0803-3,Medio,Telenoticias,Salud,Informativo,Link,"9,385",https://www.facebook.com/Telenoticias7/posts/3319096058101572
0803-4,Medio,Crhoy.com,Salud,Informativo,Link,"7,458",https://www.facebook.com/crhoy.comnoticias/posts/3789414631100876
0803-5,Institución,Caja Costarricense de Seguro Social,Vida Cotidiana,Alerta,Texto/Foto,"6,108",https://www.facebook.com/ccssdecostarica/posts/3101152156575153
0803-6,Medio,Tome pal pinto,Salud,Informativo,Link,"5,991",https://www.facebook.com/Tomepalpinto/posts/2840595002693711
0803-7,Institución,Caja Costarricense de Seguro Social,Vida Cotidiana,Informativo,Video,"5,766",https://www.facebook.com/ccssdecostarica/posts/3100795789944123
0803-8,Institución,CNE,Medidas y Restricciones,Informativo,Video,"5,543",https://www.facebook.com/CNECostaRica/posts/2827151820710745
0803-9,Medio,Telenoticias,Medidas y Restricciones,Informativo,Link,"5,040",https://www.facebook.com/Telenoticias7/posts/3319116211432890
0803-10,Medio,Telenoticias,Medidas y Restricciones,Informativo,Link,"5,013",https://www.facebook.com/Telenoticias7/posts/3319163631428148
0903-1,Medio,Stereo Vision Internacional,Religión,Esperanzador,Imagen,"34,585",https://www.facebook.com/StereoVision/posts/10158128214168770
0903-2,Página/Comunidad,Walvork,Vida Cotidiana,Humorístico,Meme,"10,097",https://www.facebook.com/Walvork.yt/posts/662537664512260
0903-3,Medio,Delfino.cr,Medidas y Restricciones,Informativo,Link,"8,140",https://www.facebook.com/Delfinocrc/posts/3270819132928806
0903-4,Medio,Crhoy.com,Educación,Informativo,Link,"8,107",https://www.facebook.com/crhoy.comnoticias/posts/3792145784161094
0903-5,Medio,Repretel,Salud,Informativo,Link,"7,065",https://www.facebook.com/noticiasrepretelcostarica/posts/3290036304369431
0903-6,Figura Pública,Zuzurro El Turro,Salud,Denuncia,Texto,"6,158",https://www.facebook.com/zuzurroturro/posts/2972817449436115
0903-7,Institución,Caja Costarricense de Seguro Social,Salud,Informativo,Video,"5,823",https://www.facebook.com/ccssdecostarica/posts/3103637432993292
0903-8,Medio,NCR - Noticias Costa Rica,Medidas y Restricciones,Informativo,Texto/Imagen,"5,614",https://www.facebook.com/NCRNoticiasCostaRica/posts/3148384125194025
0903-9,Medio,Pura Vida 106.3FM,Religión,Esperanzador,Imagen,"5,106",https://www.facebook.com/PuraVida1063/posts/2994789130559992
0903-10,Medio,Amelia Rueda,Salud,Informativo,Texto,"4,352",https://www.facebook.com/ameliarueda/posts/10158618642062923
1003-1,Homeópata,Betesda Natural,Salud,Informativo,Video,"324,601",https://www.facebook.com/BetesdaNatural/posts/2805549349531635
1003-2,Doctor,Dr.Guillermo Moreno Pediatra,Salud,Informativo,Foto,"77,277",https://www.facebook.com/pediatraguillermomoreno/posts/2611581172432984
1003-3,Medio,Radio Fides,Religión,Esperanzador,Texto/Foto,"20,245",https://www.facebook.com/FidesCR/posts/4277135968979349
1003-4,Página/Comunidad,Walvork,Entretenimiento,Humoroso,Meme,"17,258",https://www.facebook.com/Walvork.yt/posts/663244174441609
1003-5,Medio,Stereo Vision Internacional,Religión,Esperanzador,Texto/Foto,"14,044",https://www.facebook.com/StereoVision/posts/10158129429683770
1003-6,Organización Religiosa,Enlace,Religión,Esperanzador,Video,"13,701",https://www.facebook.com/enlacetv/posts/10156767488496813
1003-7,Medio,Telenoticias,Educación,Informativo,Link,"11,862",https://www.facebook.com/Telenoticias7/posts/3323579374319907
1003-8,Institución,Caja Costarricense de Seguro Social,Discriminación,Denuncia,Texto/Foto,"6,450",https://www.facebook.com/ccssdecostarica/posts/3105959992761036
1003-9,Medio,NCR - Noticias Costa Rica,Salud,Informativo,Texto/Foto,"6,253",https://www.facebook.com/NCRNoticiasCostaRica/posts/3150036945028743
1003-10,Medio,Crhoy.com,Educación,Informativo,Link,"6,070",https://www.facebook.com/crhoy.comnoticias/posts/3794350633940609
1103-1,Medio,Los 40,Salud,Humoroso,Video,"46,913",https://www.facebook.com/Los40CR/posts/3069264416431719
1103-2,Medio,NCR - Noticias Costa Rica,Medidas y Restricciones,Informativo,Link,"33,324",https://www.facebook.com/NCRNoticiasCostaRica/posts/3153411608024610
1103-3,Diputades,Franggi Nicolás Diputada,Educación,Denuncia,Texto,"10,927",https://www.facebook.com/FranggiDiputada/posts/537061490144861
1103-4,Medio,Crhoy.com,Educación,Informativo,Link,"9,010",https://www.facebook.com/crhoy.comnoticias/posts/3799170626791943
1103-5,Medio,Repretel,Salud,Informativo,Link,"7,941",https://www.facebook.com/noticiasrepretelcostarica/posts/3294683760571352
1103-6,Página/Comunidad,Gamers Cr,Educación,Humoroso,Meme,"7,707",https://www.facebook.com/gamerscr/posts/2524527551136592
1103-7,Medio,Crhoy.com,Educación,Informativo,Link,"5,541",https://www.facebook.com/crhoy.comnoticias/posts/3798563250186014
1103-8,Medio,Noticias Alajuela,Religión,Esperanzador,Texto/Foto,"5,053",https://www.facebook.com/notialajuela/posts/1271669806362973
1103-9,Ministerio,Ministerio de Salud,Salud,Informativo,Foto,"4,936",https://www.facebook.com/msaludcr/posts/10163271150775137
1103-10,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"4,881",https://www.facebook.com/msaludcr/posts/626478091521649
1203-1,Medio,Stereo Vision Internacional,Religión,Esperanzador,Foto,"18,350",https://www.facebook.com/StereoVision/posts/10158138020188770
1203-2,Medio,Repretel,Salud,Informativo,Video,"9,973",https://www.facebook.com/noticiasrepretelcostarica/posts/602161717301157
1203-3,Organización Religiosa,Enlace,Religión,Esperanzador,Link,"8,878",https://www.facebook.com/enlacetv/posts/10156771514281813
1203-4,Página/Comunidad,CaracasMetro El Sitio de los Usuarios del Metro de Caracas,Política,Denuncia,Foto,"8,608",https://www.facebook.com/caracasmetro/posts/2803729889662301
1203-5,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"6,283",https://www.facebook.com/msaludcr/posts/139558354089112
1203-6,Compañía privada,Softland | Sitio Oficial,Economía,Informativo,Link,"6,164",https://www.facebook.com/SoftlandSitioOficial/posts/2958384977555502
1203-7,Gobierno,Carlos Alvarado Quesada,Medidas y Restricciones,Informativo,Texto,"5,810",https://www.facebook.com/carlosalvaradoquesada/posts/845657492599593
1203-8,Página/Comunidad,Forever Alone Tico,Vida Cotidiana,Humoroso,Meme,"5,588",https://www.facebook.com/foreveralonecr/posts/2713828928743220
1203-9,Medio,Telenoticias,Salud,Informativo,Link,"5,135",https://www.facebook.com/Telenoticias7/posts/3328030327208145
1203-10,Medio,Repretel,Educación,Informativo,Link,"5,099",https://www.facebook.com/noticiasrepretelcostarica/posts/3296716817034713
1303-1,Medio,Stereo Vision Internacional,Religión,Esperanzador,Texto/Video,"84,337",https://www.facebook.com/StereoVision/posts/10158138549278770
1303-2,Página/Comunidad,La Bruja Zurda,Vida Cotidiana,Humoroso,Meme,"58,520",https://www.facebook.com/labrujazurda/posts/550300552141696
1303-3,Página/Comunidad,Out Reality,Vida Cotidiana,Humoroso,Meme,"37,672",https://www.facebook.com/OutreAlity/posts/1539291426244956
1303-4,Ministerio,Ministerio de Educación Pública MEP,Educación,Informativo,Foto,"19,809",https://www.facebook.com/MEPCostaRicaoficial/posts/2847590888643406
1303-5,Página/Comunidad,CaracasMetro El Sitio de los Usuarios del Metro de Caracas,Educación,Informativo,Foto,"18,536",https://www.facebook.com/caracasmetro/posts/2806065719428718
1303-6,Página/Comunidad,Forever Alone Tico,Vida Cotidiana,Humoroso,Meme,"12,037",https://www.facebook.com/foreveralonecr/posts/2717350828391030
1303-7,Medio,Hola es Lola,Vida Cotidiana,Humoroso,Video,"10,953",https://www.facebook.com/Holaeslola/posts/1562855133874979
1303-8,Medio,Nacion.com,Salud,Informativo,Link,"10,652",https://www.facebook.com/lanacioncr/posts/10163342276370051
1303-9,Diputades,Franggi Nicolás Diputada,Economía,Denuncia,Texto/Video,"10,340",https://www.facebook.com/FranggiDiputada/posts/538379913346352
1303-10,Medio,Stereo Vision Internacional,Religión,Esperanzador,Foto,"10,281",https://www.facebook.com/StereoVision/posts/10158140031553770
1403-1,Figura Pública,Kendall Waston,Vida Cotidiana,Humoroso,Video,"20,305",https://www.facebook.com/KendallWastonCR/posts/2663408280438854
1403-2,Organización Religiosa,Mi amor a Jesús y a su Madre María,Religión,Esperanzador,Foto,"18,076",https://www.facebook.com/MiAmoraJesusyasumadremaria/posts/1820368721427804
1403-3,Medio,Stereo Vision Internacional,Religión,Esperanzador,Foto,"13,417",https://www.facebook.com/StereoVision/posts/10158144202168770
1403-4,Organización Religiosa,Mi amor a Jesús y a su Madre María,Religión,Esperanzador,Texto/Foto,"13,015",https://www.facebook.com/MiAmoraJesusyasumadremaria/posts/1820372558094087
1403-5,Medio,Telenoticias,Medidas y Restricciones,Informativo,Link,"11,213",https://www.facebook.com/Telenoticias7/posts/3332446006766577
1403-6,Institución,Caja Costarricense de Seguro Social,Salud,Esperanzador,Texto/Foto,"8,774",https://www.facebook.com/ccssdecostarica/posts/3115251425165226
1403-7,Medio,Crhoy.com,Medidas y Restricciones,Informativo,Link,"8,433",https://www.facebook.com/crhoy.comnoticias/posts/3809261612449511
1403-8,Medio,NCR - Noticias Costa Rica,Salud,Infromativo,Link,"8,371",https://www.facebook.com/NCRNoticiasCostaRica/posts/3160252214007216
1403-9,Página/Comunidad,Cinema Team,Vida Cotidiana,Humoroso,Meme,"8,245",https://www.facebook.com/CinemaTeam1/posts/221049805927215
1403-10,Ministerio,Ministerio de Salud,Salud,Informativo,Video,"8,148",https://www.facebook.com/msaludcr/posts/534465537452827
1503-1,Figura Pública,Valentina Alazraki,Salud/Religión,Alerta,Video,"36,533",https://www.facebook.com/valentina.alazraki.mexico/posts/2632552190201199
1503-2,Medio,NCR - Noticias Costa Rica,Medidas y Restricciones,Informativo,Texto/Foto,"19,588",https://www.facebook.com/NCRNoticiasCostaRica/posts/3161918967173874
1503-3,Página/Comunidad,Cinema Team,Vida Cotidiana,Humoroso,Meme,"18,668",https://www.facebook.com/CinemaTeam1/posts/221836559181873
1503-4,Medio,Noticias La Garita Costa Rica,Religión,Esperanzador,Texto/Foto,"18,261",https://www.facebook.com/noticiaslagaritaa/posts/1967914903353315
1503-5,Medio,Noticias Repretel Costa Rica,Salud,Informativo,Video,"15,655",https://www.facebook.com/noticiasrepretelcostarica/posts/688211281971174
1503-6,Figura Pública,Pelicomic,Vida Cotidiana,Humoroso,Meme,"15,165",https://www.facebook.com/PelicomicCR/posts/2667231230230652
1503-7,Medio,Telenoticias,Medidas y Restricciones,Informativo,Link,"12,260",https://www.facebook.com/Telenoticias7/posts/3334579596553218
1503-8,Medio,Telenoticias,Salud,Informativo,Texto/Foto,"10,657",https://www.facebook.com/Telenoticias7/posts/3334822529862258
1503-9,Figura Pública,Iván Vindas Córdoba,Religión,Esperanzador,Video,"9,165",https://www.facebook.com/PastorIvanVindasCordoba/posts/2890653391001744
1503-10,Medio,La Nación,Medidas y Restricciones,Informativo,Link,"9,017",https://www.facebook.com/lanacioncr/posts/10163352149095051
1603-1,Figura Pública,Valentina Alazraki,Salud,Informativo,Video,"25,855",https://www.facebook.com/valentina.alazraki.mexico/posts/2634968053292946
1603-2,Homeópata,Betesda Natural,Salud,Alerta,Video,"23,810",https://www.facebook.com/BetesdaNatural/posts/2819886994764537
1603-3,Medio,NCR - Noticias Costa Rica,Economía,Informativo,Link,"17,626",https://www.facebook.com/NCRNoticiasCostaRica/posts/3164632073569230
1603-4,Medio,La Nación,Medidas y Restricciones,Informativo,Link,"17,120",https://www.facebook.com/lanacioncr/posts/10163360954960051
1603-5,Medio,Tome pal pinto,Medidas y Restricciones,Informativo,Link,"14,115",https://www.facebook.com/Tomepalpinto/posts/2857848987634979
1603-6,Compañía Privada,La Casona Mexicana & Grill,Religión,Esperanzador,Video,"13,428",https://www.facebook.com/lacasona.mexicanacr/posts/2535884549969857
1603-7,Medio,Crhoy.com,Vida Cotidiana,Informativo,Link,"11,770",https://www.facebook.com/crhoy.comnoticias/posts/3815258098516529
1603-8,Homeópata,Betesda Natural,Salud,Esperanzador,Foto,"10,188",https://www.facebook.com/BetesdaNatural/posts/2819274834825753
1603-9,Gobierno,Carlos Alvarado Quesada,Salud,Informativo,Video,"9,943",https://www.facebook.com/carlosalvaradoquesada/posts/848720918959917
1603-10,Organización,Preserve Planet,Medio Ambiente y Animales,Denucnia,Texto/Link,"9,708",https://www.facebook.com/PreservePlanet/posts/3136700493015024
1703-1,Medio,Stereo Vision Internacional,Religión,Alerta,Video,"1,803,123",https://www.facebook.com/StereoVision/posts/10158151525258770
1703-2,Medio,ADN Cuba,Salud,Informtivo,Link,"139,847",https://www.facebook.com/ADNCuba/posts/1460487857448829
1703-3,Figura pública,Valentina Alazraki,Salud,Informtivo,Texto/Video,"71,124",https://www.facebook.com/valentina.alazraki.mexico/posts/2637278966395188
1703-4,Medio,Stereo Vision Internacional,Religión,Esperanzador,Foto,"17,191",https://www.facebook.com/StereoVision/posts/10158155003243770
1703-5,Medio,Crhoy.com,Migración,Informtivo,Link,"15,243",https://www.facebook.com/crhoy.comnoticias/posts/3818778804831125
1703-6,Medio,Hola es Lola,Misceláneo,N/A,Texto/Foto,"11,310",https://www.facebook.com/Holaeslola/posts/1566283996865426
1703-7,Medio,NC once,Salud,Informtivo,Link,"10,832",https://www.facebook.com/nconce/posts/3351679541512929
1703-8,Medio,Tome pal pinto,Salud,Informtivo,Link,"10,249",https://www.facebook.com/Tomepalpinto/posts/2860092187410659
1703-9,Medio,Repretel,Salud,Informtivo,Link,"10,153",https://www.facebook.com/noticiasrepretelcostarica/posts/3310710952301966
1703-10,Medio,NCR - Noticias Costa Rica,Privados de Libertad,Informtivo,Link,"9,320",https://www.facebook.com/NCRNoticiasCostaRica/posts/3167301416635629
1803-1,Ministerio,Ministerio de Salud,Salud,Informativo,Texto,"21,411",https://www.facebook.com/msaludcr/posts/10163309937160137
1803-2,Gobierno,Carlos Alvarado Quesada,Salud,Condolencias,Texto,"19,944",https://www.facebook.com/carlosalvaradoquesada/posts/850112685487407
1803-3,Figura pública,Valentina Alazraki,Salud/Religión,Informativo,Texto/Video,"17,701",https://www.facebook.com/valentina.alazraki.mexico/posts/2639378719518546
1803-4,Medio,La Nación,Economía,Informativo,Link,"17,467",https://www.facebook.com/lanacioncr/posts/10163370672170051
1803-5,Medio,Stereo Vision Internacional,Religión,Esperanzador,Foto,"16,078",https://www.facebook.com/StereoVision/posts/10158158658648770
1803-6,Medio,Stereo Vision Internacional,Religión,Esperanzador,Video,"12,992",https://www.facebook.com/StereoVision/posts/587055751885998
1803-7,Medio,Tome pal pinto,Medidas y Restricciones,Informativo,Link,"12,535",https://www.facebook.com/Tomepalpinto/posts/2862825960470615
1803-8,Medio,Lizeth Castro,Salud,Conmovedor,Texto/Link,"11,886",https://www.facebook.com/LizethCastrotv/posts/3284215768274311
1803-9,Medio,Noticias Repretel Costa Rica,Salud,Informativo,Link,"11,114",https://www.facebook.com/noticiasrepretelcostarica/posts/3313005415405853
1803-10,Medio,Telenoticias,Religión/Medidas y Restricciones,Informativo,Texto/Foto,"10,243",https://www.facebook.com/Telenoticias7/posts/3342872445723933
1903-1,Página/Comunidad,NO al Aborto.,Misceláneo,Denuncia,Foto,"130,612",https://www.facebook.com/382488199289222/posts/568937243977649
1903-2,Página/Comunidad,NO al Aborto.,Misceláneo,Denuncia,Foto,"46,795",https://www.facebook.com/382488199289222/posts/569434843927889
1903-3,Ministerio,Ministerio de Salud,Vida Cotidiana,Infomativo,Texto/Video,"27,980",https://www.facebook.com/msaludcr/posts/10163317153800137
1903-4,Medio,Telenoticias,Religión,Infomativo,Link,"26,320",https://www.facebook.com/Telenoticias7/posts/3345427812135063
1903-5,Medio,La Nación,Salud,Infomativo,Link,"20,879",https://www.facebook.com/lanacioncr/posts/10163380355840051
1903-6,Medio,NCR - Noticias Costa Rica,Medidas y Restricciones,Infomativo,Link,"17,961",https://www.facebook.com/NCRNoticiasCostaRica/posts/3172195076146263
1903-7,Medio,Crhoy.com,Salud,Infomativo,Link,"16,533",https://www.facebook.com/crhoy.comnoticias/posts/3826454920730180
1903-8,Ministerio,Ministerio de Salud,Salud,Infomativo,Texta,"16,345",https://www.facebook.com/msaludcr/posts/10163318507545137
1903-9,Medio,NCR - Noticias Costa Rica,Vida Cotidiana,Infomativo,Link,"15,496",https://www.facebook.com/NCRNoticiasCostaRica/posts/3171872846178486
1903-10,Figura pública,Rodrigo Villalobos,Política,Denuncia,Texto/Video,"14,791",https://www.facebook.com/RodrigoStandUpComedy/posts/3123247121071329
2003-1,Medio,Noticias Monumental,Religión,Informativo,Texto/Foto,"11,696",https://www.facebook.com/Noticias.Monumental/posts/2919726681413757
2003-2,Medio,Amelia Rueda,Religión,Informativo,Link,"6,935",https://www.facebook.com/ameliarueda/posts/10158657105032923
2003-3,Medio,NCR - Noticias Costa Rica,Religión,Informativo,Link,"6,503",https://www.facebook.com/NCRNoticiasCostaRica/posts/3174586185907152
2003-4,Medio,La Teja,Medidas y Restricciones,Informativo,Link,"9,748",https://www.facebook.com/latejaoficial/posts/2868904086537325
2003-5,Medio,Amelia Rueda,Religión,Informativo,Link,"1,146",https://www.facebook.com/ameliarueda/posts/10158657053287923
2003-6,Medio,NCR - Noticias Costa Rica,Entretenimiento,Informativo,Link,"1,014",https://www.facebook.com/NCRNoticiasCostaRica/posts/3174480389251065
2003-7,Página/Comunidad,Paranormal Tiquicia,Vida Cotidiana,Humoroso,Meme,"1,963",https://www.facebook.com/paranormaltiquicia/posts/2931374546930206
2003-8,Página/Comunidad,C506,Vida Cotidiana,Humoroso,Meme,607,https://www.facebook.com/C506LATAM/posts/642968602932361
2003-9,Medio,La Teja,Religión,Informativo,Link,"2,386",https://www.facebook.com/latejaoficial/posts/2868430493251351
2003-10,Página/Comunidad,De Todo El Mundo,Vida Cotidiana,Reflexivo,Texto/Foto,981,https://www.facebook.com/roperito09/posts/526736364681092
